Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
SatisfactorySave,77,0.01%,#273,#5,438,"70,818","2,780",218,2024/8/7 16:34
RaftSave,76,0.01%,#274,#2,"1,768","209,417","5,379",208,2024/8/7 16:34
Dragon Age: OriginsSave,18,0.01%,#275,#3,895,"111,146",331,6,2024/8/7 16:34
Tom Clancy's Ghost Recon: WildlandsSave,75,0.01%,#277,#2,109,"82,518",344,21,2024/8/7 16:34
Assetto CorsaSave,71,0.01%,#278,#3,"2,097","76,310","1,068",33,2024/8/7 16:35
Armored Core VI: Fires of RubiconSave,71,37.37%,#279,#38,102,"148,510","2,516",681,2024/8/7 16:35
SoulmaskSave,75,0.01%,#280,#36,311,"9,346","1,798",330,2024/8/7 16:35
Dishonored 2Save,109,0.01%,#281,#17,109,"180,946",408,4,2024/8/7 16:35
Persona 5: The RoyalSave,39,0.00%,#282,#13,330,"3,070",638,65,2024/8/7 16:35
Monster Hunter Stories 2: Wings of RuinSave,60,0.01%,#284,#7,69,"33,533",543,103,2024/8/7 16:35
Persona 5 RoyalSave,39,0.00%,#283,#12,330,"16,936","1,155",135,2024/8/7 16:35
SIFUSave,29,0.00%,#285,#3,"1,459","152,452","1,590",238,2024/8/7 16:35
I Wani Hug that GatorSave,0,N/A,#286,#219,72,120,31,7,2024/8/7 16:36
Gwent: The Witcher Card GameSave,115,0.01%,#290,#4,373,"46,622","2,599",279,2024/8/7 16:36
Borderlands 3Save,55,0.00%,#289,#1,365,"205,794","2,372",429,2024/8/7 16:36
Call of the Wild: The AnglerSave,73,0.01%,#287,#89,127,"22,277",911,425,2024/8/7 16:36
Call of the Wild The AnglerSave,73,0.01%,#288,#159,127,306,154,14,2024/8/7 16:36
The Witcher 3: Wild HuntSave,102,0.01%,#291,#4,"2,515","87,269","4,432",269,2024/8/7 16:36
DragonBall Z: Dokkan BattleSave,98,0.01%,#292,#16,"1,647","12,304",813,11,2024/8/7 16:36
DRAGON BALL Z DOKKAN BATTLESave,98,0.01%,#293,#15,"1,647","22,310","1,274",45,2024/8/7 16:36
Still Wakes the DeepSave,62,0.01%,#294,#29,"2,487","9,706","2,987",53,2024/8/7 16:37
DC Universe OnlineSave,48,0.00%,#296,#16,70,"5,576",123,9,2024/8/7 16:37
DemonologistSave,24,0.00%,#295,#30,686,"12,741",984,16,2024/8/7 16:37
Omega StrikersSave,34,0.00%,#297,#59,140,"2,600",254,25,2024/8/7 16:37
Flintlock The Siege of DawnSave,57,0.01%,#298,#76,194,"1,888",518,64,2024/8/7 16:37
God of WarSave,76,0.01%,#299,#1,552,"282,798","6,029",718,2024/8/7 16:37
Rec RoomSave,31,0.00%,#300,#3,61,"1,654",200,9,2024/8/7 16:37
DoomSave,55,0.00%,#301,#1,149,"164,939","1,200",41,2024/8/7 16:37
MechWarrior OnlineSave,51,0.00%,#302,#8,172,"29,201",307,44,2024/8/7 16:38
Sun HavenSave,52,0.00%,#305,#21,191,"14,660",443,28,2024/8/7 16:38
