Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
Goose Goose DuckSave,172,0.01%,#242,#6,809,"66,720","5,390",187,2024-08-09 13:09
The ForestSave,158,0.01%,#250,#1,"1,042","76,209","3,679",159,2024-08-09 13:09
BioShock InfiniteSave,264,0.02%,#200,#2,264,"98,911",692,8,2024-08-09 13:09
Beat SaberSave,138,0.01%,#272,#4,421,"160,233","2,234",137,2024-08-09 13:09
Remnant IISave,201,0.01%,#231,#21,698,"101,726","4,319",842,2024-08-09 13:09
Deceive IncSave,133,0.01%,#276,#255,155,155,76,2,2024-08-09 13:09
Sketchys ContractSave,173,0.01%,#240,#117,173,"1,216",170,3,2024-08-09 13:09
Wo Long: Fallen DynastySave,128,0.01%,#280,#16,142,"19,682",725,98,2024-08-09 13:10
DemonologistSave,88,0.01%,#323,#30,942,"12,741",988,16,2024-08-09 13:10
Sky: Children of the LightSave,115,0.01%,#290,#54,178,"24,591",761,49,2024-08-09 13:10
Nightmare Files Clap ClapSave,20,0.00%,#528,#75,220,"2,527",567,1,2024-08-09 13:10
Slay the PrincessSave,119,0.01%,#287,#50,"1,637","3,515",506,2,2024-08-09 13:10
Ready or NotSave,142,0.01%,#267,#5,"1,632","171,814","5,451",122,2024-08-09 13:10
FINAL FANTASY VIISave,177,0.01%,#238,#1,"2,447","140,720","1,915",62,2024-08-09 13:10
SatisfactorySave,80,0.01%,#334,#5,459,"70,818","2,778",218,2024-08-09 13:11
The Lord of the Rings OnlineSave,101,0.01%,#308,#7,234,"33,405",252,11,2024-08-09 13:11
SIFUSave,36,0.00%,#445,#3,"3,751","152,452","1,596",237,2024-08-09 13:11
ArknightsSave,134,0.01%,#275,#10,490,"13,223","1,005",77,2024-08-09 13:11
Abiotic FactorSave,90,0.01%,#321,#46,180,"6,572",988,17,2024-08-09 13:11
DEVOURSave,173,0.01%,#241,#3,703,"214,094","3,988",120,2024-08-09 13:11
Back 4 BloodSave,126,0.01%,#283,#1,140,"208,550","3,478",526,2024-08-09 13:11
Sun HavenSave,139,0.01%,#271,#21,139,"14,660",443,28,2024-08-09 13:12
Fallout: New VegasSave,186,0.01%,N/A,N/A,572,"36,689","1,489",68,2024-08-09 13:12
Borderlands 2Save,111,0.01%,#293,#1,209,"200,575","1,837",103,2024-08-09 13:12
Raid: Shadow LegendsSave,287,0.02%,#190,#20,"1,142","13,168","1,454",75,2024-08-09 13:12
RAID Shadow LegendsSave,287,0.02%,#189,#19,"1,142","13,168","1,735",89,2024-08-09 13:12
PANICORESave,131,0.01%,#279,#25,287,"7,804","1,281",18,2024-08-09 13:12
Days GoneSave,123,0.01%,#284,#3,"1,076","132,257","1,669",173,2024-08-09 13:13
V RisingSave,97,0.01%,#314,#1,232,"105,839","5,252",957,2024-08-09 13:13
RaftSave,104,0.01%,#304,#2,"2,973","209,417","5,378",208,2024-08-09 13:13
Bloons TD 6Save,66,0.00%,#355,#1,"5,683","95,310","5,275",106,2024-08-09 13:13
Nobody Wants to DieSave,438,0.03%,#155,#23,"1,164","12,442","2,896",30,2024-08-09 13:13
