Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
Star Wars: The Old RepublicSave,66,0.01%,#271,#6,402,"54,484",610,81,2024-08-08 19:24
Dishonored 2Save,66,0.01%,#272,#17,201,"180,946",408,4,2024-08-08 19:25
PaladinsSave,65,0.01%,#273,#6,406,"44,984","2,001",387,2024-08-08 19:25
CupheadSave,65,0.01%,#274,#2,"1,784","172,429","3,302",124,2024-08-08 19:25
StarfieldSave,65,0.01%,#276,#15,195,"85,152",969,85,2024-08-08 19:25
Pax DeiSave,65,0.01%,#275,#137,129,468,222,58,2024-08-08 19:25
Resident Evil 2 / Biohazard RE:2Save,64,0.01%,#277,#2,"4,485","312,429","3,676",442,2024-08-08 19:25
Goose Goose DuckSave,64,0.01%,#278,#6,"1,456","66,720","5,390",187,2024-08-08 19:25
Sid Meier's Civilization VSave,61,0.01%,#282,#5,447,"45,821",831,21,2024-08-08 19:26
Call of Duty 2020 (working title)Save,77,0.01%,#284,#13,61,"8,642",727,109,2024-08-08 19:26
Call of Duty: Black Ops - Cold WarSave,77,0.01%,#283,#1,445,"727,991","15,114","3,225",2024-08-08 19:26
The Last of Us Part ISave,61,0.01%,#279,#10,778,"48,679","2,834",158,2024-08-08 19:26
CuisineerSave,61,0.01%,#280,#175,190,383,52,2,2024-08-08 19:26
Call of Duty Black Ops Cold WarSave,61,0.01%,#281,#71,445,"2,759",616,102,2024-08-08 19:26
Metal Gear Solid V: The Phantom PainSave,59,0.00%,#285,#9,161,"96,514",522,28,2024-08-08 19:26
Fallout 3Save,42,0.00%,#287,#2,276,"148,540",888,17,2024-08-08 19:27
Tomb RaiderSave,56,0.00%,#288,#2,97,"106,770",483,11,2024-08-08 19:27
Madden NFL 24Save,56,0.00%,#289,#42,550,"22,250","2,908",276,2024-08-08 19:27
Granblue Fantasy Versus RisingSave,56,0.00%,#290,#7,456,"64,908","2,706",14,2024-08-08 19:27
EnlistedSave,55,0.00%,#292,#8,200,"32,206",345,19,2024-08-08 19:27
LoathfulSave,55,0.00%,#291,#9,55,"21,393","1,709",191,2024-08-08 19:27
Call of Duty: Modern Warfare 3Save,54,0.00%,#294,#7,242,"445,474",751,9,2024-08-08 19:27
NordicandiaSave,54,0.00%,#295,#80,54,54,54,54,2024-08-08 19:27
Total War: Three KingdomsSave,53,0.00%,#296,#85,104,764,19,4,2024-08-08 19:28
Persona 5: The RoyalSave,29,0.00%,#301,#13,354,"3,070",637,65,2024-08-08 19:28
S.T.A.L.K.E.R.: AnomalySave,97,0.00%,#299,#15,210,"21,698",764,50,2024-08-08 19:28
Persona 5 RoyalSave,53,0.00%,#300,#12,354,"16,936","1,153",135,2024-08-08 19:28
Total War THREE KINGDOMSSave,53,0.00%,#297,#233,104,104,21,3,2024-08-08 19:28
SoulmaskSave,53,0.00%,#298,#36,171,"9,346","1,766",324,2024-08-08 19:28
Ranch SimulatorSave,52,0.00%,#302,#12,484,"178,125","2,271",59,2024-08-08 19:28
Sakuna: Of Rice And RuinSave,72,0.00%,#304,#79,72,339,67,2,2024-08-08 19:28
