144,Tinkerlands: A Shipwrecked Adventure,2658710,0.8954000000000001,3281,1432,2024-08-05 12:03
145,Mad Island,2739590,0.8951,25397,4806,2024-08-05 12:03
146,Doll Impostor,2882870,0.8945000000000001,694,155,2024-08-05 12:03
147,Farlands,2252680,0.894,9568,478,2024-08-05 12:03
148,ALAA-MOGUS MUST DIE,2777230,0.894,338,41,2024-08-05 12:03
149,Kitten Burst,1592360,0.8936,913,24,2024-08-05 12:03
150,Cataclismo,1422440,0.8926000000000001,43928,3152,2024-08-05 12:03
151,Crypt of the NecroDancer: Hatsune Miku Character DLC,2828720,0.8923000000000001,0,0,2024-08-05 12:03
152,Toy Shire: Room One,2517850,0.8920999999999999,2077,1290,2024-08-05 12:03
153,Humans are not that against Lizardwomen,2715650,0.892,5510,717,2024-08-05 12:03
154,Gooba Ball,2878140,0.892,462,457,2024-08-05 12:03
155,Love Sucks: Night Two,1719310,0.8915000000000001,5992,156,2024-08-05 12:03
156,Superscout,2862610,0.8914,5170,5385,2024-08-05 12:03
157,False Dream,2753720,0.8913,522,342,2024-08-05 12:03
158,Pesticide Not Required: Prologue,2480450,0.8913,497,367,2024-08-05 12:03
159,Ignited in Cavern,2738080,0.8909999999999999,412,103,2024-08-05 12:03
160,Intravenous 2: Mercenarism,2651330,0.8909,3911,843,2024-08-05 12:03
161,CAT & ONION,2781210,0.8909,366,10,2024-08-05 12:03
162,Selaco,1592280,0.8906999999999999,34693,1528,2024-08-05 12:03
163,Dungeon Keeper™ 2,2616460,0.8905,2001,930,2024-08-05 12:03
164,Cozy Space Survivors,2657850,0.8904000000000001,393,31,2024-08-05 12:03
165,Workers & Resources: Soviet Republic,784150,0.8902,119505,8264,2024-08-05 12:03
166,100 Aliens Cats,2845270,0.8902,1204,14154,2024-08-05 12:03
167,Purrfectly Hidden Cats - Kittenrock,2786450,0.89,138,30,2024-08-05 12:03
168,攻城与召唤 Siege and Summons 【5分钟一局 策略竞技 】,2888980,0.8898999999999999,6007,576,2024-08-05 12:03
169,The Operator,1771980,0.8898,8320,1343,2024-08-05 12:03
170,Grocery Store Simulator,2961880,0.8898,3432,1824,2024-08-05 12:03
171,Fruit Mountain,2753620,0.8896,644,311,2024-08-05 12:03
172,LurkBait Twitch Fishing,2767520,0.8896,736,499,2024-08-05 12:03
173,Working Sakuya,2861150,0.8895000000000001,2583,63,2024-08-05 12:03
174,纯爱独白：小小 Purelove Monologue: Xiaoxiao,2475040,0.8895000000000001,2148,71,2024-08-05 12:03
175,Minimalist Tower Defense,2617400,0.8894,2373,439,2024-08-05 12:03
176,Cryptis,2421370,0.8894,461,29,2024-08-05 12:03
177,Assetto Corsa Competizione - 24H Nürburgring Pack,2700610,0.889,0,0,2024-08-05 12:03
178,Dungeon Tycoon: Prologue,3090980,0.8887999999999999,1241,4436,2024-08-05 12:03
179,Riven,1712350,0.8887,17940,1712,2024-08-05 12:03
180,风与鸟 - Wind and Bird,2269860,0.8886,429,103,2024-08-05 12:03
181,Dawnsbury Days,2693730,0.888,703,158,2024-08-05 12:03
182,Free Stars: The Ur-Quan Masters,2645580,0.8879,1312,92,2024-08-05 12:03
183,The Heroes Around Me,1768470,0.8876000000000001,3422,118,2024-08-05 12:03
184,With My Past,2524360,0.8876000000000001,1006,68,2024-08-05 12:03
185,Ogu and the Secret Forest,1985960,0.8873000000000001,3839,1070,2024-08-05 12:03
186,Letter Lancers: Prologue,2925450,0.8873000000000001,82,44,2024-08-05 12:03
187,The Shell Part II: Purgatorio,2712550,0.8870999999999999,1977,125,2024-08-05 12:03
188,Where Dragon Spirits 龙魂在哪里,2904170,0.8868,334,205,2024-08-05 12:03
189,天缘传说,2993680,0.8867,5913,371,2024-08-05 12:03
190,King of the Bridge,2523120,0.8865999999999999,1015,116,2024-08-05 12:03
191,Alex Jones: NWO Wars,2487350,0.8861,5056,115,2024-08-05 12:03
192,Like a Dragon: Infinite Wealth,2072450,0.8859,42498,46161,2024-08-05 12:03
193,Placid Plastic Desktop,2852770,0.8856999999999999,263,88,2024-08-05 12:03
194,Kādomon: Hyper Auto Battlers Prologue,1985320,0.8856,822,141,2024-08-05 12:03
195,Esports Godfather,1278540,0.8855,5854,5183,2024-08-05 12:03
196,Press Any Key,2914320,0.8854000000000001,73,25,2024-08-05 12:03
197,The Talos Principle 2 - Road to Elysium,2981410,0.8852,0,0,2024-08-05 12:03
198,Botany Manor,1425350,0.885,4845,258,2024-08-05 12:03
199,Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,3012420,0.8848999999999999,4570,309,2024-08-05 12:03
200,Why do you love me?,2802790,0.8845999999999999,192,7,2024-08-05 12:03
201,Imitosis,2878280,0.8845000000000001,116,5,2024-08-05 12:03
202,DAVE THE DIVER - Godzilla Content Pack,2841140,0.8844,0,0,2024-08-05 12:03
203,Abnormal1999:Sector 49,3057180,0.8844,74,112,2024-08-05 12:03
204,"Braid, Anniversary Edition",499180,0.8843000000000001,3625,570,2024-08-05 12:03
205,Ova Magica,1299170,0.8842,6129,333,2024-08-05 12:03
