UUID,Rank,GameID,Country,Date
d47bf227-d675-457d-acb3-79471744b7c2,88,2964020,AT,2024-08-10
7c3e7cbe-42e8-4338-b38c-a3048c50af55,89,43385,AT,2024-08-10
b9952392-acf0-4cdd-bd11-5920b386e541,90,413150,AT,2024-08-10
bb69e5dc-550e-44db-8ce7-39d1eb35b6aa,91,41138,AT,2024-08-10
f5ba805b-94cc-49d5-9a17-dbf257237354,92,1017180,AT,2024-08-10
577409d4-32e0-4818-8386-bb164dfcce37,93,444200,AT,2024-08-10
1f4fb07a-5217-4037-b1d8-983c3345e152,94,1232580,AT,2024-08-10
849e20cd-2b04-4b1f-9d09-2f94a6c037e0,95,41962,AT,2024-08-10
76ade7d4-b5ff-40f5-adf2-e62846e245ae,96,2300320,AT,2024-08-10
b66f842e-d23b-4ff6-941b-6ff0a77c1559,97,18726,AT,2024-08-10
6bd66dfc-c6c7-4d0c-84f2-bb1517180355,98,394360,AT,2024-08-10
5cf2fbae-2bd4-4bc5-93bd-6f2aa42bc0b3,99,39887,AT,2024-08-10
10801f4f-53f5-4a4a-8c29-84429c9ceb8e,100,43419,AT,2024-08-10
c8c103fc-d0ec-4889-a1c6-a41d42567a40,1,2358720,global,2024-08-10
7c0d9498-75c3-4b29-b25a-15971b54bdb3,2,730,global,2024-08-10
f5ccddbe-90ee-455c-98ed-d2f4723e6f56,3,578080,global,2024-08-10
a854e0cf-9aea-4bba-b23d-a9eff2abc8fa,4,1675200,global,2024-08-10
eff88e21-1fb2-4bb3-a72d-c81a3ca6ffcb,5,1593500,global,2024-08-10
bc38337f-d5e1-42b8-ad0b-c404d6929692,6,2074920,global,2024-08-10
394a7d9a-7d0f-4c9b-8fd3-36416e237dab,7,570,global,2024-08-10
ce78f8a1-2aa6-4a95-bc65-b92e70be7587,8,2933620,global,2024-08-10
a924a230-e141-4466-97ee-284d8bb42835,9,33369,global,2024-08-10
71151cec-3631-4f84-88f8-31cdd4ad17b0,10,2183900,global,2024-08-10
9942c850-df5d-4a8d-9c0a-4866b788804b,11,397540,global,2024-08-10
ae567524-13f0-428b-924c-0e8b021b43dd,12,1245620,global,2024-08-10
b92b0181-0a7e-467f-a9f7-49afbc315dfd,13,553850,global,2024-08-10
09cedd4d-1ee5-4202-a806-206968a2b2e0,14,306130,global,2024-08-10
c48651a7-e153-4bc2-b42d-2a5043abd411,15,236390,global,2024-08-10
e5fecf37-0fc0-4c2a-882c-b91c1e990a7c,16,1449850,global,2024-08-10
acef7156-549a-4413-a3da-868fe63f978b,17,1086940,global,2024-08-10
2be20562-7b3f-4604-9d46-c74f6393a00e,18,1203220,global,2024-08-10
390dc091-5186-4d92-aa7a-a7bc4b5d8c94,19,2638370,global,2024-08-10
183ba826-7f82-4cbf-b705-95eab5276104,20,2139460,global,2024-08-10
846e9641-814a-49b9-bbeb-4c17856b3960,21,230410,global,2024-08-10
4c5e0b23-521a-435b-8ad0-754f3bfb6aad,22,1172470,global,2024-08-10
1504ce5a-69c6-44e6-8326-167db6af9897,23,1085660,global,2024-08-10
08c97370-6f2d-4e7f-a3b0-fff6dacf82ed,24,1222670,global,2024-08-10
1a5c83a3-8e25-42a1-ae6e-366631b1d502,25,1237970,global,2024-08-10
16b34f5e-588b-4af2-b167-d8fbfb36463a,26,311210,global,2024-08-10
241cfb2c-b9f8-47ea-9b2a-cb9cab94ef01,27,271590,global,2024-08-10
dfd3e00f-4998-4bb6-88c8-2a6053dcc852,28,2344520,global,2024-08-10
3791be0b-8ad8-4efc-8f9f-564da60f1148,29,381210,global,2024-08-10
6f4fef07-8b51-4d0a-bf9b-215d11eb57da,30,489830,global,2024-08-10
73e12c4c-3c16-438b-b7ed-00976d51dcb2,31,377160,global,2024-08-10
91a781ff-4640-4a77-a73f-af5399144f98,32,782330,global,2024-08-10
ed592f6e-93b1-407a-a806-7b530ff18644,33,2142790,global,2024-08-10
aa439d6c-40dd-4eaa-965b-6bbe90abfebd,34,1151340,global,2024-08-10
8d269a84-2784-4f84-8096-5fc49ef3841d,35,413150,global,2024-08-10
1219f68c-2ff6-449a-817d-43cf76cf22bc,36,2778580,global,2024-08-10
3a34137b-d495-4c14-8419-749e73077eb0,37,252490,global,2024-08-10
ea50a189-1b3e-42d1-969f-668323c28c63,38,49520,global,2024-08-10
2b424f85-e165-4d5c-8bc5-d0b1e158e319,39,2400510,global,2024-08-10
90e183b6-6a2f-468d-9066-a7b006c41a25,40,5700,global,2024-08-10
06e360aa-0fed-4e96-b9e9-0786cb33371c,41,2567870,global,2024-08-10
170de4e8-1544-4ed9-93c9-0cb1cbf2563b,42,2751000,global,2024-08-10
