UUID,Rank,GameID,Country,Date,SystemDate
70815363-33c1-4b78-a22e-a56b68230e39,11,393080,FR,2024-08-12,2024-08-14 18:45
5bc6e0b5-a2e7-43f9-bbd9-7a3ccdd9a8f8,12,306130,FR,2024-08-12,2024-08-14 18:45
693c2ff9-3552-430c-a326-a08801b59f49,13,311210,FR,2024-08-12,2024-08-14 18:45
cb171ee2-4e62-45c5-9bb2-783389757fda,14,236390,FR,2024-08-12,2024-08-14 18:45
371d0cb6-7430-4b29-ac5d-303fcf6b91f4,15,230410,FR,2024-08-12,2024-08-14 18:45
ff278c0e-cab0-4581-b560-47902f3750f1,17,238960,FR,2024-08-12,2024-08-14 18:45
4927cf7a-4712-45fe-9286-051b4658be0e,18,1222670,FR,2024-08-12,2024-08-14 18:45
0f9f960c-31ee-46be-b516-cd7b4621c3cc,19,1172470,FR,2024-08-12,2024-08-14 18:45
4900b7ed-9709-4e4f-afc5-cd7767b94eed,20,2139460,FR,2024-08-12,2024-08-14 18:45
4d584398-7c3e-47bf-bcaf-9cfe22a28a47,21,553850,FR,2024-08-12,2024-08-14 18:45
2aca2b24-175a-4576-b718-0ebe57245aec,22,1172620,FR,2024-08-12,2024-08-14 18:45
42a6888e-54ad-4ef4-986c-180787f77f08,23,2426960,FR,2024-08-12,2024-08-14 18:45
8547bc71-5595-4df4-a873-bf5af9828733,24,381210,FR,2024-08-12,2024-08-14 18:45
518392ca-965c-4f7c-b111-655cf8c36b39,25,49520,FR,2024-08-12,2024-08-14 18:45
b905d1ff-8a45-4167-bd62-f75c39a87953,26,39210,FR,2024-08-12,2024-08-14 18:45
017dc01c-9f07-45e5-ac3e-b887d5cad102,27,2638370,FR,2024-08-12,2024-08-14 18:45
bd97d837-4518-4fd8-979a-a863fded2fd0,28,271590,FR,2024-08-12,2024-08-14 18:45
80b7551c-198f-4190-8a70-c7054fea04f5,29,2778580,FR,2024-08-12,2024-08-14 18:45
539b0191-00dc-460e-bfc2-f7800729c123,30,1599340,FR,2024-08-12,2024-08-14 18:45
f41d61e3-72b7-424f-be83-c09c52035697,31,1286680,FR,2024-08-12,2024-08-14 18:45
1f5d5b0e-0b39-452b-bd23-d5af6505f35f,32,489830,FR,2024-08-12,2024-08-14 18:45
6935d233-79df-4ffd-8100-ad0b19721c4a,33,2142790,FR,2024-08-12,2024-08-14 18:45
3eb618b3-2f4a-4830-b590-90b52adebb25,35,2358720,FR,2024-08-12,2024-08-14 18:45
9356954c-ba49-42be-ae81-d99fe1bd529d,36,227300,FR,2024-08-12,2024-08-14 18:45
ae60d50a-2984-4a49-9b46-4302bf83c8f6,37,1449850,FR,2024-08-12,2024-08-14 18:45
997d0d3a-803e-4f41-b457-a2552103693c,38,1331550,FR,2024-08-12,2024-08-14 18:45
3be0137c-9800-4e64-954b-2e25bc36ee90,39,202970,FR,2024-08-12,2024-08-14 18:45
9d8db834-a4f3-4457-a5b6-85a85c5418dc,40,1085660,FR,2024-08-12,2024-08-14 18:45
c4b7f7e1-6140-4a30-a697-03857041c4a3,41,2567870,FR,2024-08-12,2024-08-14 18:45
820a3dff-b551-4687-be5b-3b7a9c542376,42,1203620,FR,2024-08-12,2024-08-14 18:45
68bbf812-4e79-43fa-8de7-e2ff04ad0035,43,2751000,FR,2024-08-12,2024-08-14 18:45
6fc620dd-885a-496a-bcd9-f6343858611f,45,1237970,FR,2024-08-12,2024-08-14 18:45
32776925-0732-4bb9-9163-b6e1104c3727,46,377160,FR,2024-08-12,2024-08-14 18:45
5890e422-d146-4978-98b9-f64679aacfea,47,1151340,FR,2024-08-12,2024-08-14 18:45
d85faa93-ba5e-4e3a-b90d-a2d1e94c853e,49,782330,FR,2024-08-12,2024-08-14 18:45
