GameID,Rank,PeakPlayers,AllTimePeak,Date
920490,656,966,1195,2024-08-08
1296830,657,1149,44702,2024-08-08
1062520,658,924,13412,2024-08-08
2406770,659,1045,16457,2024-08-08
213670,660,1084,34811,2024-08-08
1371980,661,1088,36276,2024-08-08
1693980,662,816,30925,2024-08-08
960170,663,1147,5413,2024-08-08
1888930,664,1140,36496,2024-08-08
610080,665,781,6265,2024-08-08
1458140,666,1001,18507,2024-08-08
544730,667,1082,7376,2024-08-08
1057090,668,1012,34807,2024-08-08
1557740,669,963,2269,2024-08-08
433850,670,591,151239,2024-08-08
389730,671,988,18966,2024-08-08
551170,672,1124,4978,2024-08-08
2239150,673,808,6723,2024-08-08
1284410,674,996,7504,2024-08-08
1465470,675,1312,5170,2024-08-08
2012510,676,956,4854,2024-08-08
312660,677,1268,17366,2024-08-08
659540,678,712,712,2024-08-08
492720,679,1079,15294,2024-08-08
1332010,680,1050,62963,2024-08-08
1296610,681,724,3764,2024-08-08
885970,682,1193,18526,2024-08-08
1197260,683,730,4904,2024-08-08
2276930,684,642,7812,2024-08-08
1262240,685,880,4022,2024-08-08
203160,686,942,89538,2024-08-08
1105420,687,1069,1681,2024-08-08
1486350,688,592,1452,2024-08-08
780310,689,1000,21741,2024-08-08
1419170,690,1059,3939,2024-08-08
489630,691,987,11136,2024-08-08
1084160,692,1316,25366,2024-08-08
2732960,693,1188,2353,2024-08-08
2742140,694,525,764,2024-08-08
65800,695,772,21862,2024-08-08
2333480,696,712,1058,2024-08-08
1689500,697,987,1133,2024-08-08
1333350,698,819,1091,2024-08-08
225540,699,935,23459,2024-08-08
234140,700,1246,33356,2024-08-08
751780,701,829,13438,2024-08-08
268850,702,662,4248,2024-08-08
1318690,703,755,2622,2024-08-08
2138710,704,760,3189,2024-08-08
736220,705,968,7753,2024-08-08
1042550,706,631,2404,2024-08-08
9420,707,1156,2113,2024-08-08
42700,708,792,63343,2024-08-08
242050,709,922,16049,2024-08-08
469600,710,1292,5834,2024-08-08
1606180,711,1070,4668,2024-08-08
359870,712,746,13263,2024-08-08
2225070,713,1644,22128,2024-08-08
843380,714,699,7648,2024-08-08
2725560,715,686,1666,2024-08-08
1812820,716,661,5935,2024-08-08
2140510,717,735,3755,2024-08-08
254700,718,883,5343,2024-08-08
