App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
431240,Golf With Your Friends,"May 19, 2020",Very Positive,"| 42,257 User Reviews",NT$ 148.00,"['Multiplayer', 'Casual', 'Mini Golf', 'Sports', 'Golf', 'Indie', 'Funny', 'Family Friendly', 'Co-op', 'Singleplayer', 'Early Access', 'Physics', 'Simulation', 'Strategy', 'Great Soundtrack', 'Local Multiplayer', 'Difficult', 'Memes', 'Massively Multiplayer', 'VR']",sim_physics_sandbox,2024-08-05 12:10
463530,Empires of the Undergrowth,"Jun 7, 2024",Very Positive,"| 11,861 User Reviews",NT$ 699.00,"['Strategy', 'Base Building', 'Simulation', 'City Builder', 'Resource Management', 'Sandbox', 'Building', 'Management', 'Colony Sim', 'RTS', 'Survival', 'Open World', 'Sci-fi', 'Moddable', 'Singleplayer', 'Replay Value', '2D', 'Automation', 'Economy', 'Crafting']",sim_physics_sandbox,2024-08-05 12:10
1244460,Jurassic World Evolution 2,"Nov 9, 2021",Very Positive,"| 24,886 User Reviews","NT$ 1,288.00","['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox', 'Strategy', 'Singleplayer', 'City Builder', 'Economy', 'Resource Management', 'Sci-fi', 'Open World', 'Violent', 'Atmospheric', 'Sequel', 'Action', 'Multiplayer', 'Survival', 'Base Building', 'Casual']",sim_physics_sandbox,2024-08-05 12:10
1273400,Construction Simulator,"Sep 20, 2022",Very Positive,"| 6,945 User Reviews",NT$ 566.00,"['Simulation', 'Multiplayer', 'Building', 'Online Co-Op', 'Relaxing', 'Open World', 'Realistic', 'Driving', 'Education', 'Immersive Sim', 'Transportation', 'Physics', 'Automobile Sim', 'First-Person', 'Casual', 'Third Person', 'City Builder', 'Family Friendly', 'Singleplayer', 'Female Protagonist']",sim_physics_sandbox,2024-08-05 12:10
242760,The Forest,"Apr 30, 2018",Overwhelmingly Positive,"| 469,090 User Reviews",NT$ 318.00,"['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Singleplayer', 'Atmospheric', 'Simulation', 'Gore', 'Realistic', 'Indie', 'Zombies', 'Early Access']",sim_physics_sandbox,2024-08-05 12:10
641320,Cooking Simulator,"Jun 6, 2019",Very Positive,"| 15,924 User Reviews",NT$ 158.00,"['Simulation', 'Cooking', 'Singleplayer', 'Realistic', 'Sandbox', 'Funny', 'Physics', 'First-Person', 'Family Friendly', 'Management', 'Relaxing', 'Co-op', 'Crafting', 'Comedy', 'Resource Management', 'Replay Value', 'Economy', 'Memes', 'Action', 'Female Protagonist']",sim_physics_sandbox,2024-08-05 12:10
850190,Goat Simulator 3,"Feb 15, 2024",Overwhelmingly Positive,"| 3,634 User Reviews",NT$ 488.00,"['Exploration', 'Physics', 'Sandbox', 'Open World', 'Character Customization', 'Simulation', '3D', 'Action-Adventure', 'Casual', 'Cartoony', 'Comedy', 'Colorful', 'Adventure', 'Family Friendly', 'Co-op', 'Multiplayer', 'Local Co-Op', 'Online Co-Op', 'Singleplayer', 'Local Multiplayer']",sim_physics_sandbox,2024-08-05 12:10
2440510,Forza Motorsport,"Oct 10, 2023",Mixed,"| 7,245 User Reviews","NT$ 1,990.00","['Racing', 'Automobile Sim', 'Simulation', 'Sports', 'Multiplayer', 'First-Person', 'Driving', 'Realistic', 'Third Person', 'Singleplayer', 'Physics', 'Immersive Sim', 'PvP', 'Family Friendly', 'Management', 'Science', 'Transportation', 'Character Customization', 'Choices Matter', 'VR']",sim_physics_sandbox,2024-08-05 12:10
223750,DCS World Steam Edition,"Aug 2, 2013",Very Positive,"| 33,730 User Reviews",Free To Play,"['Simulation', 'Flight', 'Free to Play', 'Multiplayer', 'Military', 'Realistic', 'VR', 'War', 'Open World', 'Singleplayer', 'Shooter', 'Action', 'Co-op', 'Sandbox', 'TrackIR', 'First-Person', 'Tanks', 'Strategy', 'Massively Multiplayer', 'FPS']",sim_physics_sandbox,2024-08-05 12:10
305620,The Long Dark,"Aug 1, 2017",Very Positive,"| 91,533 User Reviews",NT$ 349.00,"['Survival', 'Open World Survival Craft', 'Open World', 'Exploration', 'Atmospheric', 'Singleplayer', 'First-Person', 'Adventure', 'Crafting', 'Sandbox', 'Simulation', 'Post-apocalyptic', 'Indie', 'Walking Simulator', 'Survival Horror', 'Strategy', 'Difficult', 'Action', 'Early Access', 'Horror']",sim_physics_sandbox,2024-08-05 12:10
