GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
527230,For The King,"Apr 19, 2018",Very Positive,"| 28,049 User Reviews",NT$ 318.00,"['RPG', 'Online Co-Op', 'Strategy', 'Open World', 'Roguelike', 'Turn-Based', 'Multiplayer', 'Co-op', 'Turn-Based Combat', 'Adventure', 'Tabletop', 'Roguelite', 'Turn-Based Strategy', 'Party-Based RPG', 'Board Game', 'Local Co-Op', 'Indie', 'Fantasy', 'Hex Grid', 'Strategy RPG']",strategy_card_board,2024-08-27 13:56
470220,UNO,"Jan 3, 2017",Mostly Positive,"| 38,360 User Reviews",NT$ 285.00,"['Card Game', 'Multiplayer', 'Tabletop', 'Board Game', 'Casual', 'Family Friendly', 'Funny', 'Strategy', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Classic', 'Cult Classic', 'Local Multiplayer', 'Team-Based', 'Replay Value', 'Action', 'Party Game', 'PvP', 'Competitive']",strategy_card_board,2024-08-27 13:56
1689500,Dune: Imperium,"Mar 13, 2024",Overwhelmingly Positive,"| 2,009 User Reviews",NT$ 375.00,"['Strategy', 'Board Game', 'Deckbuilding', 'Sci-fi', 'Simulation', 'Card Game', 'Grand Strategy', 'Tabletop', 'Space Sim', 'Top-Down', 'Dystopian ', 'Economy', 'Fantasy', 'Futuristic', 'Lore-Rich', 'Military', 'Political', 'Space', 'Choices Matter', 'Combat']",strategy_card_board,2024-08-27 13:56
3052450,Morimens,"Aug 2, 2024",Mixed,| 192 User Reviews,Free To Play,"['Strategy', 'Card Game', 'Free to Play', 'Card Battler', 'Deckbuilding', 'Lovecraftian', 'RPG', 'Roguelite', 'Roguelike Deckbuilder', 'Roguelike', 'Story Rich', 'Turn-Based', 'Adventure', 'Horror', 'Singleplayer', 'PvP', '2D', 'Atmospheric', 'Mystery', 'Multiplayer']",strategy_card_board,2024-08-27 13:56
2459750,Yohane the Parhelion - NUMAZU in the MIRAGE -,"Feb 22, 2024",Very Positive,| 354 User Reviews,NT$ 366.00,"['Roguelike Deckbuilder', 'Card Game', 'Dungeon Crawler', 'Relaxing', 'Casual', 'JRPG', 'Anime', 'Female Protagonist', 'Card Battler', 'Story Rich', 'Adventure', 'Roguelite', 'Singleplayer', 'Fantasy', 'Strategy RPG', 'Replay Value', 'Turn-Based Tactics', 'Cute', '3D', 'Turn-Based']",strategy_card_board,2024-08-27 13:56
1499560,LastCloudia,"Feb 18, 2021",Mostly Positive,| 766 User Reviews,Free To Play,"['RPG', 'Adventure', 'Action RPG', 'Card Game', 'MMORPG', 'Clicker', 'JRPG', 'Card Battler', '2D Fighter', 'Pixel Graphics', '3D Platformer', 'Cinematic', '3D', 'Story Rich', 'Lore-Rich', 'Fantasy', 'Superhero', 'Comic Book', 'Magic', 'Dragons']",strategy_card_board,2024-08-27 13:56
1031140,Warhammer The Horus Heresy: Legions,"Mar 28, 2019",Mixed,"| 2,716 User Reviews",Free To Play,"['Deckbuilding', 'Card Game', 'Multiplayer', 'Free to Play', 'Board Game', 'Strategy', 'PvP', 'Trading Card Game', 'Card Battler', 'Singleplayer', 'PvE', 'Adventure', 'Warhammer 40K', 'Turn-Based Tactics', 'Turn-Based Strategy', 'Turn-Based Combat', 'Lore-Rich', '2D', 'Tabletop', 'Story Rich']",strategy_card_board,2024-08-27 13:56
2427700,Backpack Battles,"Mar 8, 2024",Very Positive,"| 9,796 User Reviews",NT$ 238.00,"['Auto Battler', 'Inventory Management', 'Strategy', 'PvP', 'Multiplayer', 'Asynchronous Multiplayer', 'Roguelike Deckbuilder', 'Indie', 'Tactical', 'Turn-Based', 'Card Battler', 'Loot', 'Combat', 'Replay Value', 'Roguelike', '2D', 'Cute', 'Hand-drawn', 'Cozy', 'Female Protagonist']",strategy_card_board,2024-08-27 13:56
1054490,Wingspan,"Sep 17, 2020",Very Positive,"| 7,519 User Reviews",NT$ 199.00,"['Building', 'Board Game', 'Card Game', 'Relaxing', 'Strategy', 'Wholesome', 'Nature', 'Casual', 'Cute', 'Turn-Based Strategy', 'Tabletop', 'PvP', 'Singleplayer', 'Resource Management', 'Economy', 'Local Multiplayer', '2D', 'Co-op', 'Local Co-Op', 'Multiplayer']",strategy_card_board,2024-08-27 13:56
2059810,Richman 4,"Jul 28, 2022",Mostly Positive,"| 1,182 User Reviews",NT$ 140.00,"['Casual', 'Tabletop', 'Trading', 'Family Friendly', 'Relaxing', 'Cartoon', '3D', 'Cute', 'Funny', 'Comedy', 'Board Game', 'PvP', 'Resource Management', 'Singleplayer', '3D Platformer', 'Multiplayer', 'Local Multiplayer']",strategy_card_board,2024-08-27 13:56
